Topic,Day,QuizID,QuestionNumber,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectOption,Explanation
Pre-Calculus,1,PC-01,1,"What is the slope of the line passing through the points (-4,-4) and (1,0)?",0,1.8,-0.2,0.8,D,The slope is the change in y divided by the change in x (rise over run).
Pre-Calculus,1,PC-01,2,"What is the slope of the line passing through the points (3,0) and (5,2)?",0,0,1,2,C,The slope is the change in y divided by the change in x (rise over run).
Pre-Calculus,1,PC-01,3,"What is the slope of the line passing through the points (5,-3) and (7,-1)?",2,1,0,0,B,The slope is the change in y divided by the change in x (rise over run).
Pre-Calculus,2,PC-02,1,"What is the slope of the line passing through the points (-1,3) and (5,9)?",2,1,0,0,B,The slope is the change in y divided by the change in x (rise over run).
Pre-Calculus,2,PC-02,2,"What is the slope of the line passing through the points (5,1) and (9,6)?",1.25,2.25,0.25,0,A,The slope is the change in y divided by the change in x (rise over run).
Pre-Calculus,2,PC-02,3,"What is the slope of the line passing through the points (-1,-5) and (1,-4)?",-0.5,0,1.5,0.5,D,The slope is the change in y divided by the change in x (rise over run).
Pre-Calculus,3,PC-03,1,"What is the slope of the line passing through the points (0,-2) and (4,3)?",0,2.25,1.25,0.25,C,The slope is the change in y divided by the change in x (rise over run).
Pre-Calculus,3,PC-03,2,"What is the slope of the line passing through the points (-5,0) and (-1,3)?",0.75,-0.25,0,1.75,A,The slope is the change in y divided by the change in x (rise over run).
Pre-Calculus,3,PC-03,3,"What is the slope of the line passing through the points (1,-1) and (3,2)?",0.5,2.5,0,1.5,D,The slope is the change in y divided by the change in x (rise over run).
Pre-Calculus,4,PC-04,1,"What is the slope of the line passing through the points (-3,4) and (-1,8)?",2,0,1,3,A,The slope is the change in y divided by the change in x (rise over run).
Pre-Calculus,4,PC-04,2,"What is the slope of the line passing through the points (-1,1) and (1,7)?",2,4,0,3,D,The slope is the change in y divided by the change in x (rise over run).
Pre-Calculus,4,PC-04,3,"What is the slope of the line passing through the points (-5,0) and (0,3)?",0,0.6,1.6,-0.4,B,The slope is the change in y divided by the change in x (rise over run).
Pre-Calculus,5,PC-05,1,"What is the slope of the line passing through the points (5,3) and (7,4)?",1.5,0.5,0,-0.5,B,The slope is the change in y divided by the change in x (rise over run).
Pre-Calculus,5,PC-05,2,"What is the slope of the line passing through the points (-1,2) and (3,5)?",-0.25,0,1.75,0.75,D,The slope is the change in y divided by the change in x (rise over run).
Pre-Calculus,5,PC-05,3,"What is the slope of the line passing through the points (2,4) and (3,10)?",6,5,0,7,A,The slope is the change in y divided by the change in x (rise over run).
Pre-Calculus,6,PC-06,1,"What is the slope of the line passing through the points (0,1) and (2,3)?",2,0,1,0,C,The slope is the change in y divided by the change in x (rise over run).
Pre-Calculus,6,PC-06,2,"What is the slope of the line passing through the points (1,-1) and (7,1)?",0,1.33,-0.67,0.33,D,The slope is the change in y divided by the change in x (rise over run).
Pre-Calculus,6,PC-06,3,"What is the slope of the line passing through the points (-5,-3) and (0,-2)?",-0.8,0.2,0,1.2,B,The slope is the change in y divided by the change in x (rise over run).
Pre-Calculus,7,PC-07,1,"What is the slope of the line passing through the points (2,3) and (7,6)?",-0.4,1.6,0.6,0,C,The slope is the change in y divided by the change in x (rise over run).
Pre-Calculus,7,PC-07,2,"What is the slope of the line passing through the points (-5,2) and (-3,4)?",0,1,0,2,B,The slope is the change in y divided by the change in x (rise over run).
Pre-Calculus,7,PC-07,3,"What is the slope of the line passing through the points (-1,1) and (0,3)?",1,2,0,3,B,The slope is the change in y divided by the change in x (rise over run).
